Feature,WT:1,WT:2,WT:3,WT:4,WT:5,WT:6,WT:7,WT:8,WT:9,WT:10,SET1:1,SET1:2,SET1:3,SET1:4,SET1:5,SET1:6,SET1:7,SET1:8,SET1:9,SET1:10,SET1-RRP6:1,SET1-RRP6:2,SET1-RRP6:3,SET1-RRP6:4,SET1-RRP6:5,SET1-RRP6:6,SET1-RRP6:7,SET1-RRP6:8,SET1-RRP6:9,SET1-RRP6:10,RRP6:1,RRP6:2,RRP6:3,RRP6:4,RRP6:5,RRP6:6,RRP6:7,RRP6:8,RRP6:9,RRP6:10
HTB2,20648.0,466.0,1783.0,25335.0,64252.0,24126.0,9067.0,19721.0,67353.0,28059.0,21214.0,3822.0,2870.0,65483.0,39073.0,17421.0,5979.0,29570.0,56156.0,42195.0,36236.0,1716.0,2137.0,21731.0,43086.0,33990.0,12290.0,7170.0,21650.0,21870.0,38560.0,4275.0,2923.0,29292.0,55453.0,37863.0,25900.0,21179.0,43327.0,77043.0
HHF1,7867.0,147.0,427.0,5178.0,27889.0,8547.0,3432.0,6935.0,34229.0,13913.0,9807.0,1663.0,932.0,31023.0,30668.0,9701.0,2484.0,12998.0,39462.0,26192.0,34296.0,1238.0,1672.0,18206.0,53296.0,35468.0,12523.0,7099.0,19932.0,23810.0,32163.0,1811.0,1257.0,24615.0,57599.0,29579.0,17696.0,14404.0,40664.0,79181.0
HHT1,1481.0,37.0,187.0,1856.0,3952.0,1020.0,484.0,1409.0,4636.0,1870.0,1604.0,572.0,358.0,7322.0,3479.0,1241.0,518.0,3122.0,5084.0,3027.0,4480.0,677.0,774.0,4335.0,6548.0,3723.0,1475.0,1101.0,3824.0,3677.0,3988.0,941.0,541.0,5292.0,6436.0,2844.0,1931.0,2383.0,6029.0,9389.0
POL30,743.0,27.0,370.0,4050.0,877.0,357.0,845.0,2110.0,1872.0,684.0,1075.0,1170.0,1692.0,10529.0,753.0,344.0,1424.0,5552.0,1600.0,1120.0,3040.0,1190.0,2940.0,9383.0,4044.0,1710.0,593.0,1093.0,5620.0,2878.0,2671.0,872.0,2966.0,7584.0,2714.0,854.0,995.0,5318.0,4940.0,4092.0
KCC4,185.0,6.0,200.0,669.0,166.0,68.0,360.0,595.0,438.0,204.0,209.0,381.0,588.0,1067.0,125.0,93.0,490.0,1251.0,346.0,286.0,1155.0,494.0,1335.0,2193.0,906.0,402.0,183.0,468.0,1940.0,893.0,959.0,593.0,1210.0,1664.0,594.0,275.0,517.0,1796.0,1386.0,1267.0
MCD1,457.0,16.0,117.0,1696.0,586.0,244.0,464.0,1227.0,1204.0,457.0,538.0,286.0,714.0,3404.0,464.0,326.0,761.0,2979.0,1047.0,721.0,2369.0,298.0,1304.0,5007.0,2922.0,1552.0,561.0,778.0,3534.0,1709.0,1740.0,264.0,1532.0,4129.0,1644.0,707.0,860.0,3675.0,3590.0,3166.0
MSA1-1of2,8.0,0.0,5.0,23.0,13.0,12.0,15.0,9.0,19.0,16.0,8.0,13.0,11.0,23.0,13.0,18.0,14.0,18.0,14.0,21.0,24.0,14.0,16.0,24.0,27.0,23.0,18.0,26.0,32.0,24.0,19.0,28.0,25.0,20.0,20.0,26.0,33.0,25.0,32.0,34.0
HTB1,4209.0,105.0,493.0,4887.0,12369.0,3597.0,1769.0,3664.0,13649.0,5455.0,4560.0,2406.0,1208.0,22417.0,12399.0,5406.0,1935.0,8956.0,15915.0,10274.0,17141.0,2041.0,2575.0,14709.0,25136.0,15322.0,5345.0,4328.0,13024.0,12460.0,12270.0,2462.0,1504.0,15483.0,20450.0,9643.0,6524.0,7410.0,17517.0,26690.0
SUT476,100.0,8.0,10.0,28.0,23.0,31.0,47.0,42.0,122.0,72.0,143.0,75.0,41.0,153.0,112.0,171.0,182.0,265.0,187.0,322.0,918.0,546.0,560.0,657.0,420.0,593.0,531.0,786.0,1318.0,780.0,1568.0,2207.0,1081.0,1283.0,930.0,1214.0,1988.0,2068.0,1567.0,2033.0
APQ12,4644.0,490.0,4242.0,7891.0,6477.0,6754.0,6010.0,6494.0,7744.0,4722.0,4231.0,5936.0,3888.0,9156.0,3494.0,6134.0,6206.0,7747.0,4525.0,6324.0,7579.0,4297.0,3906.0,4509.0,3468.0,4312.0,3539.0,4510.0,9081.0,3684.0,8824.0,10089.0,3558.0,4816.0,4193.0,5310.0,8164.0,10320.0,9552.0,11390.0
